Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Science Fiction, Animation, Action, Adventure",en,2013-07-30,7.9,teams;heroes;war-torn;Flash,Justice League: The Flashpoint Paradox
"Western, Comedy",en,2015-12-11,5.2,"long-lost;Knife"";across;Tommy",The Ridiculous 6
"Animation, Comedy, Adventure, Family",es,2012-08-10,6.0,hero;construction;Max;like,"Tad, the Lost Explorer"
Drama,en,1979-06-15,7.2,together;Adrian;Soon;champ,Rocky II
Documentary,en,2021-05-27,8.1,"cast;guests.;laughter,;tears,",Friends: The Reunion
"Action, Adventure, Science Fiction",en,1996-06-25,6.8,giant;plant;cities;orbit,Independence Day
"Drama, History",en,2021-12-10,6.6,crisis;Lucille;face;careers,Being the Ricardos
"Fantasy, Animation, Horror, Action, Thriller, Science Fiction, Family, Mystery",en,2005-10-18,7.0,"ruthless;Joker;recent;Penguin,",The Batman vs. Dracula
"Comedy, Romance",en,2003-08-01,6.2,--;no;reliable;grandmother,American Wedding
"Action, Drama, History, War",en,1995-03-14,7.9,"slays;eventually,;English;childhood",Braveheart
"Action, Thriller, Science Fiction",en,2008-01-15,6.6,video;size;friend;attempt,Cloverfield
"Animation, Family",en,2012-02-22,7.0,really;exciting;returns;sea,Barbie in A Mermaid Tale 2
"Animation, Fantasy, Family",ja,2021-01-27,6.1,living;orphan;headstrong;witch.,Earwig and the Witch
"Drama, Comedy, Family",tr,2019-10-10,8.3,prove;Separated;death;intellectual,Miracle in Cell No. 7
"Drama, Romance",es,2008-10-17,5.5,"middle-class;prostitution,;adventures,;girl's",Diary of a Nymphomaniac
"Fantasy, Comedy, Family",en,1995-05-26,6.3,Maine.;relationship;budding;fellow,Casper
"Action, Crime, Drama, Thriller",en,1995-12-15,7.9,Obsessive;ability;Hanna;McCauley,Heat
Comedy,es,2021-08-12,7.8,no-hugging;policies;reviews;Americans,Lokillo: Nothing's the Same
"Science Fiction, Action, Adventure, Animation",en,2015-04-14,7.3,"Dollmaker,;killing"";hard;secretive",Batman vs. Robin
Comedy,en,2015-09-24,7.2,"Whittaker;fashion;site,;isn't",The Intern
"Action, Thriller",en,2018-07-11,6.3,fire;tallest;building.;blazing,Skyscraper
"Fantasy, Family, Comedy, Animation",en,2013-07-30,5.8,"Smurf;Gargamel;world,;Vexy",The Smurfs 2
"Adventure, Family, Fantasy",en,2016-06-01,6.2,giants;all.;few;flush-bunking,The BFG
"Animation, Action, Adventure, Comedy, Family",en,2019-12-04,7.7,"Walter;invention,;lacks;smarts",Spies in Disguise
"Action, Adventure, Science Fiction",en,2016-12-21,5.4,adventures;oppressive;allow;genetic,Assassin's Creed
"Comedy, Romance",en,2014-10-16,7.8,"met;complexities;moment;5,","Love, Rosie"
"Horror, Thriller",en,1999-07-11,6.3,Witch;Channel;1999.;Witch,Curse of the Blair Witch
"Drama, Mystery, Thriller",es,2017-01-06,8.2,Spain.;night;devise;businessman,The Invisible Guest
"Animation, Action, Fantasy",ja,1989-07-15,6.6,son;Gohan;unite;Krillin,Dragon Ball Z: Dead Zone
"Horror, Drama, Mystery",en,2019-07-03,7.1,nightmare;turns;travel;sun,Midsommar
Comedy,es,2021-06-15,6.3,elude;sexist;assume;built,Mi otra yo
"Horror, Mystery, Thriller",en,2017-09-26,4.8,ever;enemies;Creeper;gory,Jeepers Creepers 3
"Fantasy, Family, Comedy, Horror",en,2018-09-15,6.2,(and;noise;evil;Upon,The House with a Clock in Its Walls
"Mystery, Drama, Romance, Thriller",en,2003-03-01,5.2,home;Lana.;married;surprised,Wicked Minds
"Horror, Thriller",en,2007-11-09,6.2,"target;physical;unhinged;sight,",P2
"Horror, Thriller",en,1991-08-30,5.9,"Eight;Andy,;resurrected;school.",Child's Play 3
"Fantasy, Action",en,2003-02-14,5.2,senses.;superhumanly-elevated;blinded;childhood,Daredevil
"Action, Adventure, Comedy",en,2011-08-11,5.7,"guy,;or;criminals;bank",30 Minutes or Less
Drama,en,2021-11-17,7.0,Jackie;sport;son;fight,Bruised
"Crime, Mystery, Thriller",en,1995-09-22,8.3,efforts;seasoned;sin;haunting,Se7en
"Mystery, Thriller, Horror",en,2018-09-06,6.6,—;relationship;lost;widow’s,Greta
"Horror, Thriller, Mystery",en,2016-01-22,5.9,"rules,;list;nanny;An",The Boy
"Mystery, Fantasy, Adventure, Comedy",en,2004-03-24,6.0,"honor;masked;Criminology,;returned",Scooby-Doo 2: Monsters Unleashed
Drama,en,2017-12-20,8.0,traveling;Bros.;American;Circus.,The Greatest Showman
Horror,en,2009-04-26,5.2,alone;mad;fantasy:;breaks,The Human Centipede (First Sequence)
Comedy,es,2015-07-19,7.5,impulsive.;accept;Mariana;habit.,Clean Sex
"Animation, Family, Romance",en,2005-10-04,7.1,(Barbie);horse;Cloud;defeat,Barbie and the Magic of Pegasus 3-D
"Fantasy, Comedy",en,2003-05-23,6.7,"N.Y.,;life,;beautiful;endowing",Bruce Almighty
"Horror, Thriller",en,2009-03-15,6.3,"hope;lie;curse;home,",Drag Me to Hell
"Action, Thriller, Science Fiction",en,2012-09-26,6.9,day;assassination.;close;sending,Looper
