Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1947,2.0,Estratovolcán,,,Mayon(Philippines)
1957,2.0,Estratovolcán,,True,Vsevidof(United States)
1963,2.0,Caldera volcánica,,,Batur(Indonesia)
1967,3.0,Estratovolcán,,,"Lengai, Ol Doinyo(Tanzania)"
1969,3.0,Estratovolcán,,,Iya(Indonesia)
1988,3.0,Estratovolcán,,,Semeru(Indonesia)
1990,2.0,Caldera volcánica,,,Aso(Japan)
1994,,Estratovolcán,,True,Huila(Colombia)
1999,4.0,Estratovolcán,,,Shiveluch(Russia)
1999,3.0,Estratovolcán,,,Tungurahua(Ecuador)
2019,2.0,Estratovolcán,,,White Island(New Zealand)
1631,,Volcán en escudo,,True,Dama Ali(Ethiopia)
1659,4.0,Estratovolcán,True,,Teon(Pacific Ocean)
1664,,,True,,Iwo-Tori-shima(Japan)
1707,,Volcán en escudo,True,,Santorini(Greece)
1729,2.0,Caldera volcánica,,,Krafla(Iceland)
1780,4.0,Estratovolcán,,,Sakura-jima(Japan)
1835,,Caldera volcánica,,True,Banda Api(Pacific Ocean)
